Latitude,Longitude
43.6153027,7.08085
43.6153459,7.0808065
43.6153788,7.0807483
43.6154007,7.0806688
43.6154042,7.0805984
43.6153943,7.0805292
43.6153715,7.080466
43.615343,7.0804201
43.6153078,7.0803842
43.6152676,7.0803603
43.6152452,7.0802821
43.6152316,7.0801977
43.6152203,7.0800797
43.6152131,7.0798422
43.615242,7.0794278
43.6153158,7.0790597
43.6153422,7.0789693
43.6154015,7.0787669
43.6154998,7.0785288
43.6155928,7.0783482
43.6159538,7.077713
43.6160462,7.0775302
43.6161205,7.0773325
43.6163012,7.0767765
43.6165559,7.0759647
43.6167108,7.0756513
43.6168164,7.0754621
43.6169112,7.0752625
43.6169386,7.0751766
43.6169764,7.0750324
43.6170113,7.0748745
43.6170254,7.0748272
43.6170416,7.074766
43.6170934,7.074738
43.6171439,7.0746902
43.6171866,7.0746334
43.6172197,7.0745769
43.6172352,7.074548
43.6172514,7.0745155
43.6172831,7.0744083
43.6172901,7.0743844
43.6173171,7.0742447
43.6173298,7.0741144
43.6173308,7.0740098
43.6173213,7.0739164
43.6173016,7.0738239
43.6172764,7.073757
43.6172466,7.0736968
43.6172313,7.0736028
43.6172194,7.0735248
43.6172152,7.0734043
43.6172196,7.073262
43.6172376,7.0731153
43.6172667,7.0729805
43.6173139,7.0728295
43.6175286,7.0722253
43.6175994,7.0718933
43.6176272,7.0715949
43.6176207,7.0713929
43.6175909,7.0710919
43.6175841,7.0710234
43.6175774,7.0709246
43.6175735,7.070865
43.6176122,7.0707973
43.6176337,7.0707162
43.6176372,7.0706556
43.617633,7.0706158
43.6176308,7.0705954
43.6176149,7.0705386
43.6176301,7.070466
43.6176556,7.0703513
43.6177093,7.0701728
43.6177426,7.0700212
43.6178843,7.0695128
43.6179458,7.0693195
43.6180091,7.0691512
43.6181176,7.0689077
43.6182258,7.0686737
43.6183335,7.0684637
43.6185512,7.0680944
43.6188065,7.067669
43.619747,7.0661791
43.6197987,7.0660979
43.6201919,7.0654676
43.6206546,7.0647118
43.6207459,7.0645516
43.6207956,7.064388
43.6208647,7.0640608
43.620874,7.0640232
43.6209288,7.0639965
43.6209741,7.0639465
43.6210001,7.0638934
43.621015,7.0638328
43.6210178,7.0637689
43.6211122,7.063664
43.6211447,7.0636296
43.6214026,7.0634437
43.6216693,7.0632006
43.6218265,7.0630573
43.6219423,7.0629648
43.6220076,7.0629106
43.6224424,7.062576
43.6225788,7.062493
43.6229831,7.0622839
43.6230656,7.0621993
43.6231409,7.0621095
43.6232429,7.0619551
43.6232814,7.0618946
43.6233746,7.0615962
43.6236574,7.0607718
43.6236763,7.0607214
43.6236974,7.0606612
43.623738,7.0605424
